Analysis Neighborhood,Incident Year-Month,Incident Datetime
Chinatown,2019-02,60
Chinatown,2019-03,61
Chinatown,2019-04,62
Chinatown,2019-05,63
Chinatown,2019-06,83
Chinatown,2019-07,104
Chinatown,2019-08,85
Chinatown,2019-09,87
Chinatown,2019-10,75
Chinatown,2019-11,85
Chinatown,2019-12,77
Chinatown,2020-01,80
Chinatown,2020-02,64
Chinatown,2020-03,50
Chinatown,2020-04,55
Chinatown,2020-05,47
Chinatown,2020-06,36
Chinatown,2020-07,50
Chinatown,2020-08,36
Chinatown,2020-09,37
Chinatown,2020-10,41
Chinatown,2020-11,37
Chinatown,2020-12,44
Chinatown,2021-01,35
Chinatown,2021-02,38
Chinatown,2021-03,38
Chinatown,2021-04,45
Chinatown,2021-05,53
Chinatown,2021-06,50
Chinatown,2021-07,76
Chinatown,2021-08,58
Chinatown,2021-09,51
Chinatown,2021-10,57
Chinatown,2021-11,54
Chinatown,2021-12,67
Chinatown,2022-01,37
Chinatown,2022-02,56
Chinatown,2022-03,69
Chinatown,2022-04,51
Chinatown,2022-05,47
Chinatown,2022-06,69
Chinatown,2022-07,49
Chinatown,2022-08,57
Chinatown,2022-09,62
Chinatown,2022-10,63
Chinatown,2022-11,47
Chinatown,2022-12,82
Excelsior,2018-01,66
Excelsior,2018-02,79
Excelsior,2018-03,58
Excelsior,2018-04,53
Excelsior,2018-05,55
Excelsior,2018-06,60
Excelsior,2018-07,72
Excelsior,2018-08,73
Excelsior,2018-09,57
Excelsior,2018-10,66
Excelsior,2018-11,70
Excelsior,2018-12,63
Excelsior,2019-01,48
Excelsior,2019-02,59
Excelsior,2019-03,49
Excelsior,2019-04,60
Excelsior,2019-05,67
Excelsior,2019-06,54
Excelsior,2019-07,67
Excelsior,2019-08,63
Excelsior,2019-09,83
Excelsior,2019-10,66
Excelsior,2019-11,65
Excelsior,2019-12,87
Excelsior,2020-01,51
Excelsior,2020-02,65
Excelsior,2020-03,59
Excelsior,2020-04,53
Excelsior,2020-05,106
Excelsior,2020-06,89
Excelsior,2020-07,89
Excelsior,2020-08,79
Excelsior,2020-09,73
Excelsior,2020-10,78
Excelsior,2020-11,96
Excelsior,2020-12,90
Excelsior,2021-01,111
Excelsior,2021-02,112
Excelsior,2021-03,92
Excelsior,2021-04,70
Excelsior,2021-05,75
Excelsior,2021-06,79
Excelsior,2021-07,57
Excelsior,2021-08,77
Excelsior,2021-09,66
Excelsior,2021-10,73
Excelsior,2021-11,58
Excelsior,2021-12,49
Excelsior,2022-01,59
Excelsior,2022-02,71
Excelsior,2022-03,66
Excelsior,2022-04,52
Excelsior,2022-05,58
Excelsior,2022-06,72
Excelsior,2022-07,68
Excelsior,2022-08,58
Excelsior,2022-09,63
Excelsior,2022-10,75
Excelsior,2022-11,88
Excelsior,2022-12,70
Financial District/South Beach,2018-01,379
Financial District/South Beach,2018-02,361
Financial District/South Beach,2018-03,363
Financial District/South Beach,2018-04,391
Financial District/South Beach,2018-05,438
Financial District/South Beach,2018-06,466
Financial District/South Beach,2018-07,565
Financial District/South Beach,2018-08,497
Financial District/South Beach,2018-09,466
Financial District/South Beach,2018-10,430
Financial District/South Beach,2018-11,398
Financial District/South Beach,2018-12,376
Financial District/South Beach,2019-01,401
Financial District/South Beach,2019-02,376
Financial District/South Beach,2019-03,403
Financial District/South Beach,2019-04,358
Financial District/South Beach,2019-05,370
Financial District/South Beach,2019-06,375
Financial District/South Beach,2019-07,438
Financial District/South Beach,2019-08,456
Financial District/South Beach,2019-09,427
Financial District/South Beach,2019-10,452
Financial District/South Beach,2019-11,454
Financial District/South Beach,2019-12,414
Financial District/South Beach,2020-01,412
Financial District/South Beach,2020-02,385
Financial District/South Beach,2020-03,272
Financial District/South Beach,2020-04,173
Financial District/South Beach,2020-05,217
Financial District/South Beach,2020-06,192
Financial District/South Beach,2020-07,234
Financial District/South Beach,2020-08,235
Financial District/South Beach,2020-09,218
Financial District/South Beach,2020-10,205
Financial District/South Beach,2020-11,220
Financial District/South Beach,2020-12,216
Financial District/South Beach,2021-01,218
Financial District/South Beach,2021-02,193
Financial District/South Beach,2021-03,216
Financial District/South Beach,2021-04,217
Financial District/South Beach,2021-05,244
Financial District/South Beach,2021-06,243
Financial District/South Beach,2021-07,269
Financial District/South Beach,2021-08,248
Financial District/South Beach,2021-09,468
Financial District/South Beach,2021-10,466
Financial District/South Beach,2021-11,495
Financial District/South Beach,2021-12,332
Financial District/South Beach,2022-01,291
Financial District/South Beach,2022-02,334
Financial District/South Beach,2022-03,378
Financial District/South Beach,2022-04,381
Financial District/South Beach,2022-05,287
Financial District/South Beach,2022-06,323
Financial District/South Beach,2022-07,271
Financial District/South Beach,2022-08,292
Financial District/South Beach,2022-09,279
Financial District/South Beach,2022-10,276
Financial District/South Beach,2022-11,267
Financial District/South Beach,2022-12,270
Glen Park,2018-01,16
Glen Park,2018-02,15
Glen Park,2018-03,12
Glen Park,2018-04,27
Glen Park,2018-05,20
Glen Park,2018-06,15
Glen Park,2018-07,32
Glen Park,2018-08,26
Glen Park,2018-09,26
Glen Park,2018-10,16
Glen Park,2018-11,19
Glen Park,2018-12,28
Glen Park,2019-01,25
Glen Park,2019-02,18
Glen Park,2019-03,16
Glen Park,2019-04,17
Glen Park,2019-05,19
Glen Park,2019-06,14
Glen Park,2019-07,21
Glen Park,2019-08,19
Glen Park,2019-09,18
Glen Park,2019-10,32
Glen Park,2019-11,19
Glen Park,2019-12,19
Glen Park,2020-01,30
Glen Park,2020-02,15
Glen Park,2020-03,21
Glen Park,2020-04,20
Glen Park,2020-05,25
Glen Park,2020-06,24
Glen Park,2020-07,23
Glen Park,2020-08,20
Glen Park,2020-09,18
Glen Park,2020-10,32
Glen Park,2020-11,34
Glen Park,2020-12,34
Glen Park,2021-01,29
Glen Park,2021-02,31
Glen Park,2021-03,20
Glen Park,2021-04,15
Glen Park,2021-05,42
Glen Park,2021-06,30
Glen Park,2021-07,42
Glen Park,2021-08,23
Glen Park,2021-09,31
Glen Park,2021-10,18
Glen Park,2021-11,20
Glen Park,2021-12,38
Glen Park,2022-01,30
Glen Park,2022-02,24
Glen Park,2022-03,39
Glen Park,2022-04,26
Glen Park,2022-05,24
Glen Park,2022-06,25
Glen Park,2022-07,29
Glen Park,2022-08,20
Glen Park,2022-09,33
Glen Park,2022-10,18
Glen Park,2022-11,11
Glen Park,2022-12,34
Golden Gate Park,2018-01,45
Golden Gate Park,2018-02,22
Golden Gate Park,2018-03,16
Golden Gate Park,2018-04,24
Golden Gate Park,2018-05,36
Golden Gate Park,2018-06,44
Golden Gate Park,2018-07,47
Golden Gate Park,2018-08,67
Golden Gate Park,2018-09,59
Golden Gate Park,2018-10,52
Golden Gate Park,2018-11,49
Golden Gate Park,2018-12,47
Golden Gate Park,2019-01,26
Golden Gate Park,2019-02,38
Golden Gate Park,2019-03,28
Golden Gate Park,2019-04,29
Golden Gate Park,2019-05,35
Golden Gate Park,2019-06,29
Golden Gate Park,2019-07,56
Golden Gate Park,2019-08,73
Golden Gate Park,2019-09,42
Golden Gate Park,2019-10,49
Golden Gate Park,2019-11,26
Golden Gate Park,2019-12,30
Golden Gate Park,2020-01,55
Golden Gate Park,2020-02,39
Golden Gate Park,2020-03,29
Golden Gate Park,2020-04,19
Golden Gate Park,2020-05,22
Golden Gate Park,2020-06,29
Golden Gate Park,2020-07,34
Golden Gate Park,2020-08,39
Golden Gate Park,2020-09,25
Golden Gate Park,2020-10,36
Golden Gate Park,2020-11,41
Golden Gate Park,2020-12,32
Golden Gate Park,2021-01,34
Golden Gate Park,2021-02,38
Golden Gate Park,2021-03,33
Golden Gate Park,2021-04,35
Golden Gate Park,2021-05,50
Golden Gate Park,2021-06,50
Golden Gate Park,2021-07,52
Golden Gate Park,2021-08,29
Golden Gate Park,2021-09,42
Golden Gate Park,2021-10,48
Golden Gate Park,2021-11,34
Golden Gate Park,2021-12,39
Golden Gate Park,2022-01,30
Golden Gate Park,2022-02,34
Golden Gate Park,2022-03,28
Golden Gate Park,2022-04,52
Golden Gate Park,2022-05,39
Golden Gate Park,2022-06,35
Golden Gate Park,2022-07,36
Golden Gate Park,2022-08,49
Golden Gate Park,2022-09,43
Golden Gate Park,2022-10,47
Golden Gate Park,2022-11,44
Golden Gate Park,2022-12,49
Haight Ashbury,2018-01,49
Haight Ashbury,2018-02,41
Haight Ashbury,2018-03,44
Haight Ashbury,2018-04,45
Haight Ashbury,2018-05,60
Haight Ashbury,2018-06,55
Haight Ashbury,2018-07,86
Haight Ashbury,2018-08,74
Haight Ashbury,2018-09,49
Haight Ashbury,2018-10,61
Haight Ashbury,2018-11,39
Haight Ashbury,2018-12,39
Haight Ashbury,2019-01,43
Haight Ashbury,2019-02,41
Haight Ashbury,2019-03,65
Haight Ashbury,2019-04,42
Haight Ashbury,2019-05,53
Haight Ashbury,2019-06,32
Haight Ashbury,2019-07,49
Haight Ashbury,2019-08,57
Haight Ashbury,2019-09,55
Haight Ashbury,2019-10,50
Haight Ashbury,2019-11,68
Haight Ashbury,2019-12,53
Haight Ashbury,2020-01,50
Haight Ashbury,2020-02,49
Haight Ashbury,2020-03,50
Haight Ashbury,2020-04,39
Haight Ashbury,2020-05,48
Haight Ashbury,2020-06,51
Haight Ashbury,2020-07,74
Haight Ashbury,2020-08,56
Haight Ashbury,2020-09,64
Haight Ashbury,2020-10,76
Haight Ashbury,2020-11,76
Haight Ashbury,2020-12,63
Haight Ashbury,2021-01,70
Haight Ashbury,2021-02,61
Haight Ashbury,2021-03,62
Haight Ashbury,2021-04,47
Haight Ashbury,2021-05,53
Haight Ashbury,2021-06,75
Haight Ashbury,2021-07,73
Haight Ashbury,2021-08,68
Haight Ashbury,2021-09,68
Haight Ashbury,2021-10,72
Haight Ashbury,2021-11,53
Haight Ashbury,2021-12,51
Haight Ashbury,2022-01,44
Haight Ashbury,2022-02,36
Haight Ashbury,2022-03,40
Haight Ashbury,2022-04,47
Haight Ashbury,2022-05,55
Haight Ashbury,2022-06,52
Haight Ashbury,2022-07,61
Haight Ashbury,2022-08,52
Haight Ashbury,2022-09,75
Haight Ashbury,2022-10,69
Haight Ashbury,2022-11,47
Haight Ashbury,2022-12,65
Hayes Valley,2018-01,137
Hayes Valley,2018-02,65
Hayes Valley,2018-03,73
Hayes Valley,2018-04,93
Hayes Valley,2018-05,97
Hayes Valley,2018-06,101
Hayes Valley,2018-07,112
Hayes Valley,2018-08,106
Hayes Valley,2018-09,95
Hayes Valley,2018-10,98
Hayes Valley,2018-11,85
Hayes Valley,2018-12,85
Hayes Valley,2019-01,76
Hayes Valley,2019-02,64
Hayes Valley,2019-03,75
Hayes Valley,2019-04,119
Hayes Valley,2019-05,95
Hayes Valley,2019-06,107
Hayes Valley,2019-07,108
Hayes Valley,2019-08,127
Hayes Valley,2019-09,115
Hayes Valley,2019-10,130
Hayes Valley,2019-11,84
Hayes Valley,2019-12,105
Hayes Valley,2020-01,108
Hayes Valley,2020-02,112
Hayes Valley,2020-03,93
Hayes Valley,2020-04,66
Hayes Valley,2020-05,103
Hayes Valley,2020-06,128
Hayes Valley,2020-07,114
Hayes Valley,2020-08,114
Hayes Valley,2020-09,116
Hayes Valley,2020-10,98
Hayes Valley,2020-11,81
Hayes Valley,2020-12,94
Hayes Valley,2021-01,124
Hayes Valley,2021-02,80
