,ZIP,Neighborhood,Population,Year
101,94116,Inner Sunset,28070.0,2022
102,94117,Inner Sunset,28070.0,2022
103,94122,Inner Sunset,28070.0,2022
104,94131,Inner Sunset,28070.0,2022
105,94114,Twin Peaks,8095.0,2022
106,94116,Twin Peaks,8095.0,2022
107,94127,Twin Peaks,8095.0,2022
108,94131,Twin Peaks,8095.0,2022
109,94115,Lone Mountain/USF,16964.0,2022
110,94117,Lone Mountain/USF,16964.0,2022
111,94118,Lone Mountain/USF,16964.0,2022
112,94122,Lone Mountain/USF,16964.0,2022
113,94115,Presidio,4231.0,2022
114,94118,Presidio,4231.0,2022
115,94121,Presidio,4231.0,2022
116,94123,Presidio,4231.0,2022
117,94129,Presidio,4231.0,2022
118,94115,Presidio Heights,10475.0,2022
119,94118,Presidio Heights,10475.0,2022
120,94129,Presidio Heights,10475.0,2022
121,94116,Lakeshore,13579.0,2022
122,94132,Lakeshore,13579.0,2022
123,94116,Sunset/Parkside,81209.0,2022
124,94122,Sunset/Parkside,81209.0,2022
125,94132,Sunset/Parkside,81209.0,2022
126,94118,Inner Richmond,21767.0,2022
127,94122,Inner Richmond,21767.0,2022
128,94129,Inner Richmond,21767.0,2022
129,94118,Outer Richmond,45236.0,2022
130,94121,Outer Richmond,45236.0,2022
131,94122,Outer Richmond,45236.0,2022
132,94118,Seacliff,2501.0,2022
133,94121,Seacliff,2501.0,2022
134,94129,Seacliff,2501.0,2022
135,94124,Treasure Island,3185.0,2022
136,94130,Treasure Island,3185.0,2022
