,ZIP,Neighborhood,Population
0,94102,Financial District,31067.0
1,94102,Hayes Valley,31067.0
2,94102,Mission,31067.0
3,94102,Nob Hill,31067.0
4,94102,South of Market,31067.0
5,94102,Tenderloin,31067.0
6,94102,Western Addition,31067.0
7,94103,Castro/Upper Market,28735.0
8,94103,Financial District,28735.0
9,94103,Hayes Valley,28735.0
10,94103,Mission,28735.0
11,94103,Mission Bay,28735.0
12,94103,Potrero Hill,28735.0
13,94103,South of Market,28735.0
14,94103,Tenderloin,28735.0
15,94104,Chinatown,546.0
16,94104,Financial District,546.0
17,94105,Financial District,9155.0
18,94105,Mission Bay,9155.0
19,94105,South of Market,9155.0
20,94107,Bayview Hunters Point,29689.0
21,94107,Financial District,29689.0
22,94107,Mission,29689.0
23,94107,Mission Bay,29689.0
24,94107,Potrero Hill,29689.0
25,94107,South of Market,29689.0
26,94108,Chinatown,14550.0
27,94108,Financial District,14550.0
28,94108,Nob Hill,14550.0
29,94108,South of Market,14550.0
30,94108,Tenderloin,14550.0
31,94109,Japantown,56677.0
32,94109,Marina,56677.0
33,94109,Nob Hill,56677.0
34,94109,North Beach,56677.0
35,94109,Pacific Heights,56677.0
36,94109,Russian Hill,56677.0
37,94109,Tenderloin,56677.0
38,94109,Western Addition,56677.0
39,94110,Bayview Hunters Point,74161.0
40,94110,Bernal Heights,74161.0
41,94110,Castro/Upper Market,74161.0
42,94110,Excelsior,74161.0
43,94110,Glen Park,74161.0
44,94110,Mission,74161.0
45,94110,Noe Valley,74161.0
46,94110,Outer Mission,74161.0
47,94110,Portola,74161.0
48,94110,Potrero Hill,74161.0
49,94111,Chinatown,3620.0
50,94111,Financial District,3620.0
51,94111,North Beach,3620.0
52,94112,Bernal Heights,85166.0
53,94112,Excelsior,85166.0
54,94112,Glen Park,85166.0
55,94112,McLaren Park,85166.0
56,94112,Oceanview/Merced/Ingleside,85166.0
57,94112,Outer Mission,85166.0
58,94112,Portola,85166.0
59,94112,West of Twin Peaks,85166.0
60,94114,Castro/Upper Market,34754.0
61,94114,Haight Ashbury,34754.0
62,94114,Hayes Valley,34754.0
63,94114,Inner Sunset,34754.0
64,94114,Mission,34754.0
65,94114,Noe Valley,34754.0
66,94114,Twin Peaks,34754.0
67,94115,Japantown,35004.0
68,94115,Lone Mountain/USF,35004.0
69,94115,Pacific Heights,35004.0
70,94115,Presidio,35004.0
71,94115,Presidio Heights,35004.0
72,94115,Western Addition,35004.0
73,94116,Inner Sunset,47823.0
74,94116,Lakeshore,47823.0
75,94116,Sunset/Parkside,47823.0
76,94116,Twin Peaks,47823.0
77,94116,West of Twin Peaks,47823.0
78,94117,Castro/Upper Market,44239.0
79,94117,Golden Gate Park,44239.0
80,94117,Haight Ashbury,44239.0
81,94117,Hayes Valley,44239.0
82,94117,Inner Sunset,44239.0
83,94117,Lone Mountain/USF,44239.0
84,94117,Western Addition,44239.0
85,94118,Golden Gate Park,41468.0
86,94118,Inner Richmond,41468.0
87,94118,Lone Mountain/USF,41468.0
88,94118,Outer Richmond,41468.0
89,94118,Presidio,41468.0
90,94118,Presidio Heights,41468.0
91,94118,Seacliff,41468.0
92,94121,Golden Gate Park,43795.0
93,94121,Lincoln Park,43795.0
94,94121,Outer Richmond,43795.0
95,94121,Presidio,43795.0
96,94121,Seacliff,43795.0
97,94122,Golden Gate Park,62131.0
98,94122,Haight Ashbury,62131.0
99,94122,Inner Richmond,62131.0
100,94122,Inner Sunset,62131.0
101,94122,Lone Mountain/USF,62131.0
102,94122,Outer Richmond,62131.0
103,94122,Sunset/Parkside,62131.0
104,94122,West of Twin Peaks,62131.0
105,94123,Marina,25941.0
106,94123,Pacific Heights,25941.0
107,94123,Presidio,25941.0
108,94123,Russian Hill,25941.0
109,94124,Bayview Hunters Point,35363.0
110,94124,Bernal Heights,35363.0
111,94124,Mission,35363.0
112,94124,Portola,35363.0
113,94124,Potrero Hill,35363.0
114,94124,Treasure Island,35363.0
115,94124,Visitacion Valley,35363.0
116,94127,Glen Park,21423.0
117,94127,Oceanview/Merced/Ingleside,21423.0
118,94127,Twin Peaks,21423.0
119,94127,West of Twin Peaks,21423.0
120,94128, ,135.0
121,94129,Inner Richmond,3994.0
122,94129,Marina,3994.0
123,94129,Pacific Heights,3994.0
124,94129,Presidio,3994.0
125,94129,Presidio Heights,3994.0
126,94129,Seacliff,3994.0
127,94130,Treasure Island,3064.0
128,94131,Bernal Heights,29902.0
129,94131,Castro/Upper Market,29902.0
130,94131,Glen Park,29902.0
131,94131,Inner Sunset,29902.0
132,94131,Mission,29902.0
133,94131,Noe Valley,29902.0
134,94131,Outer Mission,29902.0
135,94131,Twin Peaks,29902.0
136,94131,West of Twin Peaks,29902.0
137,94132,Lakeshore,31488.0
138,94132,Oceanview/Merced/Ingleside,31488.0
139,94132,Outer Mission,31488.0
140,94132,Sunset/Parkside,31488.0
141,94132,West of Twin Peaks,31488.0
142,94133,Chinatown,26527.0
143,94133,Financial District,26527.0
144,94133,Nob Hill,26527.0
145,94133,North Beach,26527.0
146,94133,Russian Hill,26527.0
147,94134,Bayview Hunters Point,42471.0
148,94134,Bernal Heights,42471.0
149,94134,Excelsior,42471.0
150,94134,McLaren Park,42471.0
151,94134,Portola,42471.0
152,94134,Visitacion Valley,42471.0
153,94158,Mission Bay,7291.0
154,94158,Potrero Hill,7291.0
