Analysis Neighborhood,Incident Year-Month,Number of Crimes
Chinatown,2019-02,207
Chinatown,2019-03,199
Chinatown,2019-04,195
Chinatown,2019-05,235
Chinatown,2019-06,236
Chinatown,2019-07,297
Chinatown,2019-08,277
Chinatown,2019-09,230
Chinatown,2019-10,249
Chinatown,2019-11,263
Chinatown,2019-12,241
Chinatown,2020-01,251
Chinatown,2020-02,207
Chinatown,2020-03,157
Chinatown,2020-04,145
Chinatown,2020-05,151
Chinatown,2020-06,133
Chinatown,2020-07,146
Chinatown,2020-08,121
Chinatown,2020-09,135
Chinatown,2020-10,164
Chinatown,2020-11,122
Chinatown,2020-12,154
Chinatown,2021-01,135
Chinatown,2021-02,120
Chinatown,2021-03,126
Chinatown,2021-04,143
Chinatown,2021-05,208
Chinatown,2021-06,214
Chinatown,2021-07,217
Chinatown,2021-08,191
Chinatown,2021-09,200
Chinatown,2021-10,202
Chinatown,2021-11,177
Chinatown,2021-12,196
Chinatown,2022-01,145
Chinatown,2022-02,159
Chinatown,2022-03,196
Chinatown,2022-04,162
Chinatown,2022-05,197
Chinatown,2022-06,231
Chinatown,2022-07,203
Chinatown,2022-08,215
Chinatown,2022-09,192
Chinatown,2022-10,194
Chinatown,2022-11,165
Chinatown,2022-12,213
Excelsior,2018-01,217
Excelsior,2018-02,237
Excelsior,2018-03,207
Excelsior,2018-04,198
Excelsior,2018-05,169
Excelsior,2018-06,165
Excelsior,2018-07,217
Excelsior,2018-08,219
Excelsior,2018-09,188
Excelsior,2018-10,177
Excelsior,2018-11,193
Excelsior,2018-12,173
Excelsior,2019-01,176
Excelsior,2019-02,179
Excelsior,2019-03,181
Excelsior,2019-04,192
Excelsior,2019-05,160
Excelsior,2019-06,171
Excelsior,2019-07,181
Excelsior,2019-08,158
Excelsior,2019-09,205
Excelsior,2019-10,179
Excelsior,2019-11,177
Excelsior,2019-12,168
Excelsior,2020-01,160
Excelsior,2020-02,158
Excelsior,2020-03,135
Excelsior,2020-04,139
Excelsior,2020-05,245
Excelsior,2020-06,194
Excelsior,2020-07,219
Excelsior,2020-08,194
Excelsior,2020-09,174
Excelsior,2020-10,190
Excelsior,2020-11,264
Excelsior,2020-12,195
Excelsior,2021-01,207
Excelsior,2021-02,222
Excelsior,2021-03,203
Excelsior,2021-04,199
Excelsior,2021-05,170
Excelsior,2021-06,205
Excelsior,2021-07,155
Excelsior,2021-08,213
Excelsior,2021-09,166
Excelsior,2021-10,161
Excelsior,2021-11,153
Excelsior,2021-12,114
Excelsior,2022-01,172
Excelsior,2022-02,136
Excelsior,2022-03,178
Excelsior,2022-04,131
Excelsior,2022-05,164
Excelsior,2022-06,162
Excelsior,2022-07,183
Excelsior,2022-08,155
Excelsior,2022-09,180
Excelsior,2022-10,202
Excelsior,2022-11,210
Excelsior,2022-12,181
Financial District/South Beach,2018-01,1093
Financial District/South Beach,2018-02,1040
Financial District/South Beach,2018-03,1042
Financial District/South Beach,2018-04,1126
Financial District/South Beach,2018-05,1180
Financial District/South Beach,2018-06,1148
Financial District/South Beach,2018-07,1378
Financial District/South Beach,2018-08,1273
Financial District/South Beach,2018-09,1243
Financial District/South Beach,2018-10,1190
Financial District/South Beach,2018-11,1101
Financial District/South Beach,2018-12,1129
Financial District/South Beach,2019-01,1068
Financial District/South Beach,2019-02,1004
Financial District/South Beach,2019-03,1104
Financial District/South Beach,2019-04,1017
Financial District/South Beach,2019-05,1011
Financial District/South Beach,2019-06,1059
Financial District/South Beach,2019-07,1144
Financial District/South Beach,2019-08,1184
Financial District/South Beach,2019-09,1144
Financial District/South Beach,2019-10,1148
Financial District/South Beach,2019-11,1212
Financial District/South Beach,2019-12,1042
Financial District/South Beach,2020-01,1089
Financial District/South Beach,2020-02,985
Financial District/South Beach,2020-03,656
Financial District/South Beach,2020-04,427
Financial District/South Beach,2020-05,547
Financial District/South Beach,2020-06,474
Financial District/South Beach,2020-07,546
Financial District/South Beach,2020-08,604
Financial District/South Beach,2020-09,534
Financial District/South Beach,2020-10,521
Financial District/South Beach,2020-11,536
Financial District/South Beach,2020-12,519
Financial District/South Beach,2021-01,518
Financial District/South Beach,2021-02,541
Financial District/South Beach,2021-03,592
Financial District/South Beach,2021-04,596
Financial District/South Beach,2021-05,688
Financial District/South Beach,2021-06,672
Financial District/South Beach,2021-07,749
Financial District/South Beach,2021-08,725
Financial District/South Beach,2021-09,1025
Financial District/South Beach,2021-10,1065
Financial District/South Beach,2021-11,1080
Financial District/South Beach,2021-12,822
Financial District/South Beach,2022-01,710
Financial District/South Beach,2022-02,753
Financial District/South Beach,2022-03,813
Financial District/South Beach,2022-04,782
Financial District/South Beach,2022-05,742
Financial District/South Beach,2022-06,863
Financial District/South Beach,2022-07,819
Financial District/South Beach,2022-08,862
Financial District/South Beach,2022-09,812
Financial District/South Beach,2022-10,792
Financial District/South Beach,2022-11,690
Financial District/South Beach,2022-12,757
Glen Park,2018-01,62
Glen Park,2018-02,40
Glen Park,2018-03,49
Glen Park,2018-04,64
Glen Park,2018-05,70
Glen Park,2018-06,40
Glen Park,2018-07,73
Glen Park,2018-08,70
Glen Park,2018-09,60
Glen Park,2018-10,65
Glen Park,2018-11,44
Glen Park,2018-12,78
Glen Park,2019-01,59
Glen Park,2019-02,52
Glen Park,2019-03,54
Glen Park,2019-04,47
Glen Park,2019-05,57
Glen Park,2019-06,49
Glen Park,2019-07,59
Glen Park,2019-08,57
Glen Park,2019-09,60
Glen Park,2019-10,81
Glen Park,2019-11,67
Glen Park,2019-12,76
Glen Park,2020-01,62
Glen Park,2020-02,36
Glen Park,2020-03,50
Glen Park,2020-04,56
Glen Park,2020-05,59
Glen Park,2020-06,68
Glen Park,2020-07,54
Glen Park,2020-08,59
Glen Park,2020-09,53
Glen Park,2020-10,92
Glen Park,2020-11,70
Glen Park,2020-12,69
Glen Park,2021-01,72
Glen Park,2021-02,59
Glen Park,2021-03,53
Glen Park,2021-04,40
Glen Park,2021-05,77
Glen Park,2021-06,71
Glen Park,2021-07,80
Glen Park,2021-08,41
Glen Park,2021-09,55
Glen Park,2021-10,58
Glen Park,2021-11,54
Glen Park,2021-12,68
Glen Park,2022-01,63
Glen Park,2022-02,51
Glen Park,2022-03,72
Glen Park,2022-04,58
Glen Park,2022-05,45
Glen Park,2022-06,46
Glen Park,2022-07,80
Glen Park,2022-08,56
Glen Park,2022-09,79
Glen Park,2022-10,75
Glen Park,2022-11,58
Glen Park,2022-12,74
Golden Gate Park,2018-01,137
Golden Gate Park,2018-02,100
Golden Gate Park,2018-03,94
Golden Gate Park,2018-04,104
Golden Gate Park,2018-05,114
Golden Gate Park,2018-06,124
Golden Gate Park,2018-07,156
Golden Gate Park,2018-08,189
Golden Gate Park,2018-09,169
Golden Gate Park,2018-10,145
Golden Gate Park,2018-11,130
Golden Gate Park,2018-12,155
Golden Gate Park,2019-01,110
Golden Gate Park,2019-02,110
Golden Gate Park,2019-03,120
Golden Gate Park,2019-04,113
Golden Gate Park,2019-05,109
Golden Gate Park,2019-06,93
Golden Gate Park,2019-07,162
Golden Gate Park,2019-08,200
Golden Gate Park,2019-09,123
Golden Gate Park,2019-10,152
Golden Gate Park,2019-11,110
Golden Gate Park,2019-12,104
Golden Gate Park,2020-01,141
Golden Gate Park,2020-02,133
Golden Gate Park,2020-03,66
Golden Gate Park,2020-04,70
Golden Gate Park,2020-05,53
Golden Gate Park,2020-06,73
Golden Gate Park,2020-07,109
Golden Gate Park,2020-08,86
Golden Gate Park,2020-09,84
Golden Gate Park,2020-10,106
Golden Gate Park,2020-11,93
Golden Gate Park,2020-12,80
Golden Gate Park,2021-01,91
Golden Gate Park,2021-02,92
Golden Gate Park,2021-03,88
Golden Gate Park,2021-04,86
Golden Gate Park,2021-05,121
Golden Gate Park,2021-06,151
Golden Gate Park,2021-07,128
Golden Gate Park,2021-08,92
Golden Gate Park,2021-09,116
Golden Gate Park,2021-10,131
Golden Gate Park,2021-11,83
Golden Gate Park,2021-12,101
Golden Gate Park,2022-01,89
Golden Gate Park,2022-02,81
Golden Gate Park,2022-03,98
Golden Gate Park,2022-04,138
Golden Gate Park,2022-05,99
Golden Gate Park,2022-06,93
Golden Gate Park,2022-07,125
Golden Gate Park,2022-08,121
Golden Gate Park,2022-09,107
Golden Gate Park,2022-10,126
Golden Gate Park,2022-11,113
Golden Gate Park,2022-12,121
Haight Ashbury,2018-01,186
Haight Ashbury,2018-02,173
Haight Ashbury,2018-03,291
Haight Ashbury,2018-04,225
Haight Ashbury,2018-05,251
Haight Ashbury,2018-06,178
Haight Ashbury,2018-07,253
Haight Ashbury,2018-08,214
Haight Ashbury,2018-09,159
Haight Ashbury,2018-10,322
Haight Ashbury,2018-11,198
Haight Ashbury,2018-12,187
Haight Ashbury,2019-01,194
Haight Ashbury,2019-02,158
Haight Ashbury,2019-03,201
Haight Ashbury,2019-04,192
Haight Ashbury,2019-05,174
Haight Ashbury,2019-06,167
Haight Ashbury,2019-07,202
Haight Ashbury,2019-08,225
Haight Ashbury,2019-09,203
Haight Ashbury,2019-10,223
Haight Ashbury,2019-11,218
Haight Ashbury,2019-12,197
Haight Ashbury,2020-01,174
Haight Ashbury,2020-02,186
Haight Ashbury,2020-03,158
Haight Ashbury,2020-04,131
Haight Ashbury,2020-05,138
Haight Ashbury,2020-06,136
Haight Ashbury,2020-07,181
Haight Ashbury,2020-08,157
Haight Ashbury,2020-09,199
Haight Ashbury,2020-10,190
Haight Ashbury,2020-11,182
Haight Ashbury,2020-12,155
Haight Ashbury,2021-01,163
Haight Ashbury,2021-02,163
Haight Ashbury,2021-03,130
Haight Ashbury,2021-04,121
Haight Ashbury,2021-05,165
Haight Ashbury,2021-06,212
Haight Ashbury,2021-07,201
Haight Ashbury,2021-08,177
Haight Ashbury,2021-09,208
Haight Ashbury,2021-10,195
Haight Ashbury,2021-11,179
Haight Ashbury,2021-12,160
Haight Ashbury,2022-01,141
Haight Ashbury,2022-02,132
Haight Ashbury,2022-03,114
Haight Ashbury,2022-04,149
Haight Ashbury,2022-05,148
Haight Ashbury,2022-06,125
Haight Ashbury,2022-07,174
Haight Ashbury,2022-08,153
Haight Ashbury,2022-09,188
Haight Ashbury,2022-10,188
Haight Ashbury,2022-11,130
Haight Ashbury,2022-12,155
Hayes Valley,2018-01,375
Hayes Valley,2018-02,260
Hayes Valley,2018-03,249
Hayes Valley,2018-04,290
Hayes Valley,2018-05,311
Hayes Valley,2018-06,329
Hayes Valley,2018-07,331
Hayes Valley,2018-08,321
Hayes Valley,2018-09,300
Hayes Valley,2018-10,330
Hayes Valley,2018-11,288
Hayes Valley,2018-12,250
Hayes Valley,2019-01,274
Hayes Valley,2019-02,260
Hayes Valley,2019-03,295
Hayes Valley,2019-04,382
Hayes Valley,2019-05,321
Hayes Valley,2019-06,317
Hayes Valley,2019-07,360
Hayes Valley,2019-08,417
Hayes Valley,2019-09,417
Hayes Valley,2019-10,438
Hayes Valley,2019-11,285
Hayes Valley,2019-12,340
Hayes Valley,2020-01,318
Hayes Valley,2020-02,342
Hayes Valley,2020-03,258
Hayes Valley,2020-04,242
Hayes Valley,2020-05,272
Hayes Valley,2020-06,324
Hayes Valley,2020-07,273
Hayes Valley,2020-08,279
Hayes Valley,2020-09,296
Hayes Valley,2020-10,244
Hayes Valley,2020-11,213
Hayes Valley,2020-12,244
Hayes Valley,2021-01,275
Hayes Valley,2021-02,203
Hayes Valley,2021-03,268
Hayes Valley,2021-04,227
Hayes Valley,2021-05,289
Hayes Valley,2021-06,292
Hayes Valley,2021-07,300
Hayes Valley,2021-08,297
Hayes Valley,2021-09,283
Hayes Valley,2021-10,283
Hayes Valley,2021-11,314
Hayes Valley,2021-12,251
Hayes Valley,2022-01,256
Hayes Valley,2022-02,218
Hayes Valley,2022-03,253
Hayes Valley,2022-04,235
Hayes Valley,2022-05,242
Hayes Valley,2022-06,291
Hayes Valley,2022-07,338
Hayes Valley,2022-08,282
Hayes Valley,2022-09,318
Hayes Valley,2022-10,322
Hayes Valley,2022-11,288
Hayes Valley,2022-12,284
Inner Richmond,2018-01,185
Inner Richmond,2018-02,140
Inner Richmond,2018-03,148
Inner Richmond,2018-04,191
Inner Richmond,2018-05,140
Inner Richmond,2018-06,153
Inner Richmond,2018-07,167
Inner Richmond,2018-08,148
Inner Richmond,2018-09,156
Inner Richmond,2018-10,155
Inner Richmond,2018-11,160
Inner Richmond,2018-12,151
Inner Richmond,2019-01,185
Inner Richmond,2019-02,157
Inner Richmond,2019-03,140
Inner Richmond,2019-04,156
Inner Richmond,2019-05,126
Inner Richmond,2019-06,179
Inner Richmond,2019-07,151
Inner Richmond,2019-08,145
Inner Richmond,2019-09,175
Inner Richmond,2019-10,160
Inner Richmond,2019-11,157
Inner Richmond,2019-12,183
Inner Richmond,2020-01,172
Inner Richmond,2020-02,110
Inner Richmond,2020-03,104
Inner Richmond,2020-04,84
Inner Richmond,2020-05,148
Inner Richmond,2020-06,132
Inner Richmond,2020-07,125
Inner Richmond,2020-08,131
Inner Richmond,2020-09,126
Inner Richmond,2020-10,145
Inner Richmond,2020-11,120
Inner Richmond,2020-12,177
Inner Richmond,2021-01,138
Inner Richmond,2021-02,123
Inner Richmond,2021-03,149
Inner Richmond,2021-04,134
Inner Richmond,2021-05,171
Inner Richmond,2021-06,140
Inner Richmond,2021-07,165
Inner Richmond,2021-08,132
Inner Richmond,2021-09,141
Inner Richmond,2021-10,136
Inner Richmond,2021-11,119
Inner Richmond,2021-12,138
Inner Richmond,2022-01,131
Inner Richmond,2022-02,142
Inner Richmond,2022-03,146
Inner Richmond,2022-04,147
Inner Richmond,2022-05,148
Inner Richmond,2022-06,123
Inner Richmond,2022-07,132
Inner Richmond,2022-08,120
Inner Richmond,2022-09,138
Inner Richmond,2022-10,157
Inner Richmond,2022-11,133
Inner Richmond,2022-12,176
Inner Sunset,2018-01,144
Inner Sunset,2018-02,118
Inner Sunset,2018-03,131
Inner Sunset,2018-04,124
Inner Sunset,2018-05,124
Inner Sunset,2018-06,141
Inner Sunset,2018-07,150
Inner Sunset,2018-08,149
Inner Sunset,2018-09,149
Inner Sunset,2018-10,137
Inner Sunset,2018-11,142
Inner Sunset,2018-12,130
Inner Sunset,2019-01,123
Inner Sunset,2019-02,125
Inner Sunset,2019-03,121
Inner Sunset,2019-04,119
Inner Sunset,2019-05,120
Inner Sunset,2019-06,151
Inner Sunset,2019-07,161
Inner Sunset,2019-08,176
Inner Sunset,2019-09,129
Inner Sunset,2019-10,175
Inner Sunset,2019-11,142
Inner Sunset,2019-12,196
Inner Sunset,2020-01,136
Inner Sunset,2020-02,140
Inner Sunset,2020-03,129
Inner Sunset,2020-04,95
Inner Sunset,2020-05,94
Inner Sunset,2020-06,114
Inner Sunset,2020-07,152
Inner Sunset,2020-08,137
Inner Sunset,2020-09,107
Inner Sunset,2020-10,150
Inner Sunset,2020-11,147
Inner Sunset,2020-12,162
Inner Sunset,2021-01,131
Inner Sunset,2021-02,133
Inner Sunset,2021-03,122
Inner Sunset,2021-04,154
Inner Sunset,2021-05,139
Inner Sunset,2021-06,201
Inner Sunset,2021-07,145
Inner Sunset,2021-08,126
Inner Sunset,2021-09,145
Inner Sunset,2021-10,150
Inner Sunset,2021-11,151
Inner Sunset,2021-12,130
Inner Sunset,2022-01,139
Inner Sunset,2022-02,115
Inner Sunset,2022-03,133
Inner Sunset,2022-04,156
Inner Sunset,2022-05,117
Inner Sunset,2022-06,131
Inner Sunset,2022-07,118
Inner Sunset,2022-08,113
Inner Sunset,2022-09,126
Inner Sunset,2022-10,144
Inner Sunset,2022-11,131
Inner Sunset,2022-12,146
Japantown,2018-01,154
Japantown,2018-02,97
Japantown,2018-03,128
Japantown,2018-04,112
Japantown,2018-05,106
Japantown,2018-06,101
Japantown,2018-07,133
Japantown,2018-08,176
Japantown,2018-09,123
Japantown,2018-10,107
Japantown,2018-11,110
Japantown,2018-12,135
Japantown,2019-01,104
Japantown,2019-02,104
Japantown,2019-03,141
Japantown,2019-04,119
Japantown,2019-05,144
Japantown,2019-06,137
Japantown,2019-07,127
Japantown,2019-08,146
Japantown,2019-09,136
Japantown,2019-10,186
Japantown,2019-11,128
Japantown,2019-12,152
Japantown,2020-01,142
Japantown,2020-02,102
Japantown,2020-03,69
Japantown,2020-04,47
Japantown,2020-05,55
Japantown,2020-06,48
Japantown,2020-07,59
Japantown,2020-08,63
Japantown,2020-09,51
Japantown,2020-10,71
Japantown,2020-11,77
Japantown,2020-12,74
Japantown,2021-01,56
Japantown,2021-02,55
Japantown,2021-03,78
Japantown,2021-04,87
Japantown,2021-05,116
Japantown,2021-06,82
Japantown,2021-07,84
Japantown,2021-08,129
Japantown,2021-09,100
Japantown,2021-10,183
Japantown,2021-11,141
Japantown,2021-12,133
Japantown,2022-01,147
Japantown,2022-02,123
Japantown,2022-03,165
Japantown,2022-04,101
Japantown,2022-05,110
Japantown,2022-06,132
Japantown,2022-07,124
Japantown,2022-08,117
Japantown,2022-09,137
Japantown,2022-10,180
Japantown,2022-11,154
Japantown,2022-12,156
Lakeshore,2018-01,140
Lakeshore,2018-02,154
Lakeshore,2018-03,156
Lakeshore,2018-04,123
Lakeshore,2018-05,126
Lakeshore,2018-06,114
Lakeshore,2018-07,113
Lakeshore,2018-08,147
Lakeshore,2018-09,129
Lakeshore,2018-10,132
Lakeshore,2018-11,149
Lakeshore,2018-12,169
Lakeshore,2019-01,142
Lakeshore,2019-02,151
Lakeshore,2019-03,137
Lakeshore,2019-04,144
Lakeshore,2019-05,143
Lakeshore,2019-06,131
Lakeshore,2019-07,167
Lakeshore,2019-08,175
Lakeshore,2019-09,153
Lakeshore,2019-10,160
Lakeshore,2019-11,173
Lakeshore,2019-12,147
Lakeshore,2020-01,143
Lakeshore,2020-02,106
Lakeshore,2020-03,93
Lakeshore,2020-04,81
Lakeshore,2020-05,85
Lakeshore,2020-06,113
Lakeshore,2020-07,98
Lakeshore,2020-08,92
Lakeshore,2020-09,94
Lakeshore,2020-10,92
Lakeshore,2020-11,114
Lakeshore,2020-12,115
Lakeshore,2021-01,115
Lakeshore,2021-02,95
Lakeshore,2021-03,77
Lakeshore,2021-04,102
Lakeshore,2021-05,99
Lakeshore,2021-06,119
Lakeshore,2021-07,115
Lakeshore,2021-08,125
Lakeshore,2021-09,196
Lakeshore,2021-10,142
Lakeshore,2021-11,173
Lakeshore,2021-12,202
Lakeshore,2022-01,185
Lakeshore,2022-02,181
Lakeshore,2022-03,176
Lakeshore,2022-04,164
Lakeshore,2022-05,159
Lakeshore,2022-06,169
Lakeshore,2022-07,168
Lakeshore,2022-08,142
Lakeshore,2022-09,146
Lakeshore,2022-10,117
Lakeshore,2022-11,123
Lakeshore,2022-12,167
Lincoln Park,2018-01,14
Lincoln Park,2018-02,2
Lincoln Park,2018-03,8
Lincoln Park,2018-04,8
Lincoln Park,2018-05,6
Lincoln Park,2018-06,9
Lincoln Park,2018-07,18
Lincoln Park,2018-08,22
Lincoln Park,2018-09,9
Lincoln Park,2018-10,7
Lincoln Park,2018-11,23
Lincoln Park,2018-12,18
Lincoln Park,2019-01,10
Lincoln Park,2019-02,18
Lincoln Park,2019-03,5
Lincoln Park,2019-04,15
Lincoln Park,2019-05,15
Lincoln Park,2019-06,26
Lincoln Park,2019-07,18
Lincoln Park,2019-08,14
Lincoln Park,2019-09,15
Lincoln Park,2019-10,16
Lincoln Park,2019-11,19
Lincoln Park,2019-12,28
Lincoln Park,2020-01,31
Lincoln Park,2020-02,23
Lincoln Park,2020-03,8
Lincoln Park,2020-04,3
Lincoln Park,2020-05,7
Lincoln Park,2020-06,11
Lincoln Park,2020-07,10
Lincoln Park,2020-08,15
Lincoln Park,2020-09,15
Lincoln Park,2020-10,17
Lincoln Park,2020-11,20
Lincoln Park,2020-12,18
Lincoln Park,2021-01,25
Lincoln Park,2021-02,25
Lincoln Park,2021-03,17
Lincoln Park,2021-04,25
Lincoln Park,2021-05,26
Lincoln Park,2021-06,36
Lincoln Park,2021-07,24
Lincoln Park,2021-08,13
Lincoln Park,2021-09,18
Lincoln Park,2021-10,36
Lincoln Park,2021-11,25
Lincoln Park,2021-12,26
Lincoln Park,2022-01,22
Lincoln Park,2022-02,12
Lincoln Park,2022-03,26
Lincoln Park,2022-04,23
Lincoln Park,2022-05,11
Lincoln Park,2022-06,15
Lincoln Park,2022-07,12
Lincoln Park,2022-08,18
Lincoln Park,2022-09,5
Lincoln Park,2022-10,10
Lincoln Park,2022-11,23
Lincoln Park,2022-12,22
Lone Mountain/USF,2018-01,144
Lone Mountain/USF,2018-02,141
Lone Mountain/USF,2018-03,166
Lone Mountain/USF,2018-04,163
Lone Mountain/USF,2018-05,150
Lone Mountain/USF,2018-06,127
Lone Mountain/USF,2018-07,145
Lone Mountain/USF,2018-08,134
Lone Mountain/USF,2018-09,150
Lone Mountain/USF,2018-10,181
Lone Mountain/USF,2018-11,115
Lone Mountain/USF,2018-12,155
Lone Mountain/USF,2019-01,123
Lone Mountain/USF,2019-02,132
Lone Mountain/USF,2019-03,113
Lone Mountain/USF,2019-04,113
Lone Mountain/USF,2019-05,137
Lone Mountain/USF,2019-06,122
Lone Mountain/USF,2019-07,156
Lone Mountain/USF,2019-08,167
Lone Mountain/USF,2019-09,143
Lone Mountain/USF,2019-10,153
Lone Mountain/USF,2019-11,128
Lone Mountain/USF,2019-12,165
Lone Mountain/USF,2020-01,169
Lone Mountain/USF,2020-02,132
