,Zip Code,Population
0,94102,33856.0
7,94103,32430.0
15,94104,504.0
17,94105,13810.0
20,94107,28607.0
26,94108,11963.0
31,94109,56114.0
39,94110,70859.0
49,94111,4707.0
52,94112,84477.0
60,94114,34474.0
67,94115,34193.0
73,94116,45510.0
78,94117,40701.0
85,94118,41456.0
92,94121,43964.0
97,94122,60144.0
105,94123,26002.0
109,94124,35982.0
116,94127,20927.0
120,94128,0.0
121,94129,4199.0
127,94130,3185.0
128,94131,29437.0
137,94132,29707.0
142,94133,26090.0
147,94134,41977.0
153,94158,10658.0
