,ZIP,Neighborhood,Population
0,94102,Financial District,33856.0
1,94102,Hayes Valley,33856.0
2,94102,Mission,33856.0
3,94102,Nob Hill,33856.0
4,94102,South of Market,33856.0
5,94102,Tenderloin,33856.0
6,94102,Western Addition,33856.0
7,94103,Castro/Upper Market,32430.0
8,94103,Financial District,32430.0
9,94103,Hayes Valley,32430.0
10,94103,Mission,32430.0
11,94103,Mission Bay,32430.0
12,94103,Potrero Hill,32430.0
13,94103,South of Market,32430.0
14,94103,Tenderloin,32430.0
15,94104,Chinatown,504.0
16,94104,Financial District,504.0
17,94105,Financial District,13810.0
18,94105,Mission Bay,13810.0
19,94105,South of Market,13810.0
20,94107,Bayview Hunters Point,28607.0
21,94107,Financial District,28607.0
22,94107,Mission,28607.0
23,94107,Mission Bay,28607.0
24,94107,Potrero Hill,28607.0
25,94107,South of Market,28607.0
26,94108,Chinatown,11963.0
27,94108,Financial District,11963.0
28,94108,Nob Hill,11963.0
29,94108,South of Market,11963.0
30,94108,Tenderloin,11963.0
31,94109,Japantown,56114.0
32,94109,Marina,56114.0
33,94109,Nob Hill,56114.0
34,94109,North Beach,56114.0
35,94109,Pacific Heights,56114.0
36,94109,Russian Hill,56114.0
37,94109,Tenderloin,56114.0
38,94109,Western Addition,56114.0
39,94110,Bayview Hunters Point,70859.0
40,94110,Bernal Heights,70859.0
41,94110,Castro/Upper Market,70859.0
42,94110,Excelsior,70859.0
43,94110,Glen Park,70859.0
44,94110,Mission,70859.0
45,94110,Noe Valley,70859.0
46,94110,Outer Mission,70859.0
47,94110,Portola,70859.0
48,94110,Potrero Hill,70859.0
49,94111,Chinatown,4707.0
50,94111,Financial District,4707.0
51,94111,North Beach,4707.0
52,94112,Bernal Heights,84477.0
53,94112,Excelsior,84477.0
54,94112,Glen Park,84477.0
55,94112,McLaren Park,84477.0
56,94112,Oceanview/Merced/Ingleside,84477.0
57,94112,Outer Mission,84477.0
58,94112,Portola,84477.0
59,94112,West of Twin Peaks,84477.0
60,94114,Castro/Upper Market,34474.0
61,94114,Haight Ashbury,34474.0
62,94114,Hayes Valley,34474.0
63,94114,Inner Sunset,34474.0
64,94114,Mission,34474.0
65,94114,Noe Valley,34474.0
66,94114,Twin Peaks,34474.0
67,94115,Japantown,34193.0
68,94115,Lone Mountain/USF,34193.0
69,94115,Pacific Heights,34193.0
70,94115,Presidio,34193.0
71,94115,Presidio Heights,34193.0
72,94115,Western Addition,34193.0
73,94116,Inner Sunset,45510.0
74,94116,Lakeshore,45510.0
75,94116,Sunset/Parkside,45510.0
76,94116,Twin Peaks,45510.0
77,94116,West of Twin Peaks,45510.0
78,94117,Castro/Upper Market,40701.0
79,94117,Golden Gate Park,40701.0
80,94117,Haight Ashbury,40701.0
81,94117,Hayes Valley,40701.0
82,94117,Inner Sunset,40701.0
83,94117,Lone Mountain/USF,40701.0
84,94117,Western Addition,40701.0
85,94118,Golden Gate Park,41456.0
86,94118,Inner Richmond,41456.0
87,94118,Lone Mountain/USF,41456.0
88,94118,Outer Richmond,41456.0
89,94118,Presidio,41456.0
90,94118,Presidio Heights,41456.0
91,94118,Seacliff,41456.0
92,94121,Golden Gate Park,43964.0
93,94121,Lincoln Park,43964.0
94,94121,Outer Richmond,43964.0
95,94121,Presidio,43964.0
96,94121,Seacliff,43964.0
97,94122,Golden Gate Park,60144.0
98,94122,Haight Ashbury,60144.0
99,94122,Inner Richmond,60144.0
100,94122,Inner Sunset,60144.0
101,94122,Lone Mountain/USF,60144.0
102,94122,Outer Richmond,60144.0
103,94122,Sunset/Parkside,60144.0
104,94122,West of Twin Peaks,60144.0
105,94123,Marina,26002.0
106,94123,Pacific Heights,26002.0
107,94123,Presidio,26002.0
108,94123,Russian Hill,26002.0
109,94124,Bayview Hunters Point,35982.0
110,94124,Bernal Heights,35982.0
111,94124,Mission,35982.0
112,94124,Portola,35982.0
113,94124,Potrero Hill,35982.0
114,94124,Treasure Island,35982.0
115,94124,Visitacion Valley,35982.0
116,94127,Glen Park,20927.0
117,94127,Oceanview/Merced/Ingleside,20927.0
118,94127,Twin Peaks,20927.0
119,94127,West of Twin Peaks,20927.0
120,94128, ,0.0
121,94129,Inner Richmond,4199.0
122,94129,Marina,4199.0
123,94129,Pacific Heights,4199.0
124,94129,Presidio,4199.0
125,94129,Presidio Heights,4199.0
126,94129,Seacliff,4199.0
127,94130,Treasure Island,3185.0
128,94131,Bernal Heights,29437.0
129,94131,Castro/Upper Market,29437.0
130,94131,Glen Park,29437.0
131,94131,Inner Sunset,29437.0
132,94131,Mission,29437.0
133,94131,Noe Valley,29437.0
134,94131,Outer Mission,29437.0
135,94131,Twin Peaks,29437.0
136,94131,West of Twin Peaks,29437.0
137,94132,Lakeshore,29707.0
138,94132,Oceanview/Merced/Ingleside,29707.0
139,94132,Outer Mission,29707.0
140,94132,Sunset/Parkside,29707.0
141,94132,West of Twin Peaks,29707.0
142,94133,Chinatown,26090.0
143,94133,Financial District,26090.0
144,94133,Nob Hill,26090.0
145,94133,North Beach,26090.0
146,94133,Russian Hill,26090.0
147,94134,Bayview Hunters Point,41977.0
148,94134,Bernal Heights,41977.0
149,94134,Excelsior,41977.0
150,94134,McLaren Park,41977.0
151,94134,Portola,41977.0
152,94134,Visitacion Valley,41977.0
153,94158,Mission Bay,10658.0
154,94158,Potrero Hill,10658.0
