,Zip Code,Population
0,94102,31392.0
7,94103,30703.0
15,94104,429.0
17,94105,10916.0
20,94107,31461.0
26,94108,14143.0
31,94109,57302.0
39,94110,72380.0
49,94111,3611.0
52,94112,84707.0
60,94114,34918.0
67,94115,34604.0
73,94116,47346.0
78,94117,44650.0
85,94118,42095.0
92,94121,43616.0
97,94122,62128.0
105,94123,25890.0
109,94124,35747.0
116,94127,21151.0
120,94128,146.0
121,94129,4136.0
127,94130,3008.0
128,94131,29523.0
137,94132,31436.0
142,94133,26796.0
147,94134,42418.0
153,94158,8455.0
