,ZIP,Neighborhood,Population
0,94102,Hayes Valley,20002
1,94103,Hayes Valley,20002
2,94114,Hayes Valley,20002
3,94117,Hayes Valley,20002
4,94102,Mission,57018
5,94103,Mission,57018
6,94107,Mission,57018
7,94110,Mission,57018
8,94114,Mission,57018
9,94124,Mission,57018
10,94131,Mission,57018
11,94102,Nob Hill,25622
12,94108,Nob Hill,25622
13,94109,Nob Hill,25622
14,94133,Nob Hill,25622
15,94102,South of Market,24972
16,94103,South of Market,24972
17,94105,South of Market,24972
18,94107,South of Market,24972
19,94108,South of Market,24972
20,94102,Tenderloin,31118
21,94103,Tenderloin,31118
22,94108,Tenderloin,31118
23,94109,Tenderloin,31118
24,94102,Western Addition,21989
25,94109,Western Addition,21989
26,94115,Western Addition,21989
27,94117,Western Addition,21989
28,94103,Castro/Upper Market,22923
29,94110,Castro/Upper Market,22923
30,94114,Castro/Upper Market,22923
31,94117,Castro/Upper Market,22923
32,94131,Castro/Upper Market,22923
33,94103,Mission Bay,14896
34,94105,Mission Bay,14896
35,94107,Mission Bay,14896
36,94158,Mission Bay,14896
37,94103,Potrero Hill,15089
38,94107,Potrero Hill,15089
39,94110,Potrero Hill,15089
40,94124,Potrero Hill,15089
41,94158,Potrero Hill,15089
42,94104,Chinatown,13698
43,94108,Chinatown,13698
44,94111,Chinatown,13698
45,94133,Chinatown,13698
46,94107,Bayview Hunters Point,39253
47,94110,Bayview Hunters Point,39253
48,94124,Bayview Hunters Point,39253
49,94134,Bayview Hunters Point,39253
50,94109,Japantown,3666
51,94115,Japantown,3666
52,94109,Marina,24993
53,94123,Marina,24993
54,94129,Marina,24993
55,94109,North Beach,11672
56,94111,North Beach,11672
57,94133,North Beach,11672
58,94109,Pacific Heights,23895
59,94115,Pacific Heights,23895
60,94123,Pacific Heights,23895
61,94129,Pacific Heights,23895
62,94109,Russian Hill,17614
63,94123,Russian Hill,17614
64,94133,Russian Hill,17614
65,94110,Bernal Heights,25325
66,94112,Bernal Heights,25325
67,94124,Bernal Heights,25325
68,94131,Bernal Heights,25325
69,94134,Bernal Heights,25325
70,94110,Excelsior,40157
71,94112,Excelsior,40157
72,94134,Excelsior,40157
73,94110,Glen Park,8730
74,94112,Glen Park,8730
75,94127,Glen Park,8730
76,94131,Glen Park,8730
77,94110,Noe Valley,23121
78,94114,Noe Valley,23121
79,94131,Noe Valley,23121
80,94110,Outer Mission,24101
81,94112,Outer Mission,24101
82,94131,Outer Mission,24101
83,94132,Outer Mission,24101
84,94110,Portola,15965
85,94112,Portola,15965
86,94124,Portola,15965
87,94134,Portola,15965
88,94112,Oceanview/Merced/Ingleside,26296
89,94127,Oceanview/Merced/Ingleside,26296
90,94132,Oceanview/Merced/Ingleside,26296
91,94112,West of Twin Peaks,37753
92,94116,West of Twin Peaks,37753
93,94122,West of Twin Peaks,37753
94,94127,West of Twin Peaks,37753
95,94131,West of Twin Peaks,37753
96,94132,West of Twin Peaks,37753
97,94114,Haight Ashbury,19025
98,94117,Haight Ashbury,19025
99,94122,Haight Ashbury,19025
100,94114,Inner Sunset,28070
101,94116,Inner Sunset,28070
102,94117,Inner Sunset,28070
103,94122,Inner Sunset,28070
104,94131,Inner Sunset,28070
105,94114,Twin Peaks,8095
106,94116,Twin Peaks,8095
107,94127,Twin Peaks,8095
108,94131,Twin Peaks,8095
109,94115,Lone Mountain/USF,16964
110,94117,Lone Mountain/USF,16964
111,94118,Lone Mountain/USF,16964
112,94122,Lone Mountain/USF,16964
113,94115,Presidio,4231
114,94118,Presidio,4231
115,94121,Presidio,4231
116,94123,Presidio,4231
117,94129,Presidio,4231
118,94115,Presidio Heights,10475
119,94118,Presidio Heights,10475
120,94129,Presidio Heights,10475
121,94116,Lakeshore,13579
122,94132,Lakeshore,13579
123,94116,Sunset/Parkside,81209
124,94122,Sunset/Parkside,81209
125,94132,Sunset/Parkside,81209
126,94118,Inner Richmond,21767
127,94122,Inner Richmond,21767
128,94129,Inner Richmond,21767
129,94118,Outer Richmond,45236
130,94121,Outer Richmond,45236
131,94122,Outer Richmond,45236
132,94118,Seacliff,2501
133,94121,Seacliff,2501
134,94129,Seacliff,2501
135,94124,Treasure Island,3185
136,94130,Treasure Island,3185
